! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -7.961129315E+05   1.000000000E+00   0.000000000E+00   4.883515975E+03   1.371773897E+01   1.371773897E+01   3.611912833E+00   7.231069622E+00
  -7.941472206E+05   1.000000000E+00   0.000000000E+00   4.908627777E+03   1.370594333E+01   1.370594333E+01   3.618998485E+00   7.245278365E+00
  -7.921815097E+05   1.000000000E+00   0.000000000E+00   4.933868709E+03   1.369415084E+01   1.369415084E+01   3.626098038E+00   7.259515028E+00
  -7.902157987E+05   1.000000000E+00   0.000000000E+00   4.959239433E+03   1.368236164E+01   1.368236164E+01   3.633211518E+00   7.273779665E+00
  -7.882500878E+05   1.000000000E+00   0.000000000E+00   4.984740618E+03   1.367057588E+01   1.367057588E+01   3.640338953E+00   7.288072332E+00
  -7.862843768E+05   1.000000000E+00   0.000000000E+00   5.010372933E+03   1.365879371E+01   1.365879371E+01   3.647480370E+00   7.302393083E+00
  -7.843186659E+05   1.000000000E+00   0.000000000E+00   5.036137054E+03   1.364701528E+01   1.364701528E+01   3.654635797E+00   7.316741974E+00
  -7.823529549E+05   1.000000000E+00   0.000000000E+00   5.062033659E+03   1.363524074E+01   1.363524074E+01   3.661805261E+00   7.331119060E+00
  -7.803872440E+05   1.000000000E+00   0.000000000E+00   5.088063427E+03   1.362347024E+01   1.362347024E+01   3.668988790E+00   7.345524396E+00
  -7.784215331E+05   1.000000000E+00   0.000000000E+00   5.114227045E+03   1.361170393E+01   1.361170393E+01   3.676186411E+00   7.359958038E+00
  -7.764558221E+05   1.000000000E+00   0.000000000E+00   5.140525200E+03   1.359994197E+01   1.359994197E+01   3.683398151E+00   7.374420042E+00
  -7.744901112E+05   1.000000000E+00   0.000000000E+00   5.166958584E+03   1.358818452E+01   1.358818452E+01   3.690624040E+00   7.388910463E+00
  -7.725244002E+05   1.000000000E+00   0.000000000E+00   5.193527893E+03   1.357643173E+01   1.357643173E+01   3.697864103E+00   7.403429356E+00
  -7.705586893E+05   1.000000000E+00   0.000000000E+00   5.220233826E+03   1.356468375E+01   1.356468375E+01   3.705118370E+00   7.417976779E+00
  -7.685929784E+05   1.000000000E+00   0.000000000E+00   5.247077084E+03   1.355294076E+01   1.355294076E+01   3.712386868E+00   7.432552787E+00
  -7.666272674E+05   1.000000000E+00   0.000000000E+00   5.274058375E+03   1.354120290E+01   1.354120290E+01   3.719669625E+00   7.447157436E+00
  -7.646615565E+05   1.000000000E+00   0.000000000E+00   5.301178408E+03   1.352947034E+01   1.352947034E+01   3.726966669E+00   7.461790783E+00
  -7.626958455E+05   1.000000000E+00   0.000000000E+00   5.328437896E+03   1.351774323E+01   1.351774323E+01   3.734278027E+00   7.476452883E+00
