Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  2.6856336E+05  1.0000000E+04  1.9562865E+01  1.2843300E+01  3.0513520E+00
0.0000000E+00  2.7126610E+05  1.0000000E+04  1.8241869E+01  1.2812331E+01  3.0770279E+00
0.0000000E+00  2.7396883E+05  1.0000000E+04  1.7074517E+01  1.2783085E+01  3.1027039E+00
0.0000000E+00  2.7667157E+05  1.0000000E+04  1.6144634E+01  1.2757621E+01  3.1283799E+00
0.0000000E+00  2.7937430E+05  1.0000000E+04  1.5344801E+01  1.2733427E+01  3.1540559E+00
0.0000000E+00  2.8207704E+05  1.0000000E+04  1.4661641E+01  1.2710426E+01  3.1797319E+00
0.0000000E+00  2.8477977E+05  1.0000000E+04  1.4078595E+01  1.2688543E+01  3.2054078E+00
0.0000000E+00  2.8748251E+05  1.0000000E+04  1.3578850E+01  1.2667709E+01  3.2310838E+00
0.0000000E+00  2.9018524E+05  1.0000000E+04  1.3150574E+01  1.2647858E+01  3.2567598E+00
0.0000000E+00  2.9288798E+05  1.0000000E+04  1.2782539E+01  1.2628930E+01  3.2824358E+00
0.0000000E+00  2.9559071E+05  1.0000000E+04  1.2466279E+01  1.2610869E+01  3.3081118E+00
0.0000000E+00  2.9829345E+05  1.0000000E+04  1.2194810E+01  1.2593622E+01  3.3337877E+00
0.0000000E+00  3.0099618E+05  1.0000000E+04  1.1961941E+01  1.2577140E+01  3.3594637E+00
0.0000000E+00  3.0369892E+05  1.0000000E+04  1.1762284E+01  1.2561377E+01  3.3851397E+00
0.0000000E+00  3.0640165E+05  1.0000000E+04  1.1591596E+01  1.2546289E+01  3.4108157E+00
0.0000000E+00  3.0910439E+05  1.0000000E+04  1.1445255E+01  1.2531837E+01  3.4364917E+00
0.0000000E+00  3.1180712E+05  1.0000000E+04  1.1318984E+01  1.2517983E+01  3.4621677E+00
0.0000000E+00  3.1450986E+05  1.0000000E+04  1.1208831E+01  1.2504693E+01  3.4878436E+00
0.0000000E+00  3.1721259E+05  1.0000000E+04  1.1111313E+01  1.2491933E+01  3.5135196E+00
0.0000000E+00  3.1991533E+05  1.0000000E+04  1.1035562E+01  1.2479674E+01  3.5391956E+00
0.0000000E+00  3.2261806E+05  1.0000000E+04  1.0968223E+01  1.2467885E+01  3.5648716E+00
0.0000000E+00  3.2532080E+05  1.0000000E+04  1.0936172E+01  1.2462160E+01  3.5905476E+00
0.0000000E+00  3.2802353E+05  1.0000000E+04  1.0912394E+01  1.2457937E+01  3.6162235E+00
0.0000000E+00  3.3072627E+05  1.0000000E+04  1.0888779E+01  1.2453773E+01  3.6418995E+00
0.0000000E+00  3.3342900E+05  1.0000000E+04  1.0865372E+01  1.2449668E+01  3.6675755E+00
0.0000000E+00  3.3613173E+05  1.0000000E+04  1.0847278E+01  1.2445620E+01  3.6932515E+00
0.0000000E+00  3.3883447E+05  1.0000000E+04  1.0826458E+01  1.2440308E+01  3.7189275E+00
0.0000000E+00  3.4153720E+05  1.0000000E+04  1.0809506E+01  1.2436388E+01  3.7446034E+00
0.0000000E+00  3.4423994E+05  1.0000000E+04  1.0788290E+01  1.2432521E+01  3.7702794E+00
0.0000000E+00  3.4694267E+05  1.0000000E+04  1.0763277E+01  1.2428706E+01  3.7959554E+00
0.0000000E+00  3.4964541E+05  1.0000000E+04  1.0736807E+01  1.2424943E+01  3.8216314E+00
0.0000000E+00  3.5234814E+05  1.0000000E+04  1.0700105E+01  1.2420001E+01  3.8473074E+00
0.0000000E+00  3.5505088E+05  1.0000000E+04  1.0662472E+01  1.2415146E+01  3.8729834E+00
0.0000000E+00  3.5768717E+05  1.0000000E+04  1.0604306E+01  1.2408020E+01  3.8980282E+00
0.0000000E+00  3.6032347E+05  1.0000000E+04  1.0560158E+01  1.2402795E+01  3.9230730E+00
0.0000000E+00  3.6295977E+05  1.0000000E+04  1.0515323E+01  1.2397669E+01  3.9481178E+00
0.0000000E+00  3.6559606E+05  1.0000000E+04  1.0470148E+01  1.2392639E+01  3.9731626E+00
0.0000000E+00  3.6823236E+05  1.0000000E+04  1.0424782E+01  1.2387702E+01  3.9982074E+00
0.0000000E+00  3.7086866E+05  1.0000000E+04  1.0383179E+01  1.2383253E+01  4.0232522E+00
0.0000000E+00  3.7350495E+05  1.0000000E+04  1.0321097E+01  1.2376719E+01  4.0482971E+00
0.0000000E+00  3.7614125E+05  1.0000000E+04  1.0260196E+01  1.2370344E+01  4.0733419E+00
0.0000000E+00  3.7877755E+05  1.0000000E+04  1.0179719E+01  1.2362082E+01  4.0983867E+00
0.0000000E+00  3.8141384E+05  1.0000000E+04  1.0100914E+01  1.2354078E+01  4.1234315E+00
0.0000000E+00  3.8405014E+05  1.0000000E+04  1.0024088E+01  1.2346321E+01  4.1484763E+00
0.0000000E+00  3.8668643E+05  1.0000000E+04  9.9494860E+00  1.2338796E+01  4.1735211E+00
0.0000000E+00  3.8932273E+05  1.0000000E+04  9.8775293E+00  1.2331493E+01  4.1985659E+00
0.0000000E+00  3.9195903E+05  1.0000000E+04  9.8083548E+00  1.2324401E+01  4.2236107E+00
0.0000000E+00  3.9459532E+05  1.0000000E+04  9.6787654E+00  1.2310809E+01  4.2486556E+00
0.0000000E+00  3.9723162E+05  1.0000000E+04  9.6186757E+00  1.2304291E+01  4.2737004E+00
0.0000000E+00  3.9986791E+05  1.0000000E+04  9.5561503E+00  1.2297321E+01  4.2987452E+00
0.0000000E+00  4.0250421E+05  1.0000000E+04  9.5033439E+00  1.2291219E+01  4.3237900E+00
0.0000000E+00  4.0514051E+05  1.0000000E+04  9.4753613E+00  1.2287855E+01  4.3488348E+00
0.0000000E+00  4.0777680E+05  1.0000000E+04  9.4497273E+00  1.2284744E+01  4.3738796E+00
0.0000000E+00  4.1041310E+05  1.0000000E+04  9.4265017E+00  1.2281865E+01  4.3989244E+00
0.0000000E+00  4.1304940E+05  1.0000000E+04  9.3983995E+00  1.2278316E+01  4.4239693E+00
0.0000000E+00  4.1568569E+05  1.0000000E+04  9.3738475E+00  1.2275110E+01  4.4490141E+00
0.0000000E+00  4.1832199E+05  1.0000000E+04  9.3522156E+00  1.2272209E+01  4.4740589E+00
0.0000000E+00  4.2095829E+05  1.0000000E+04  9.3236085E+00  1.2268279E+01  4.4991037E+00
0.0000000E+00  4.2359458E+05  1.0000000E+04  9.3000711E+00  1.2264895E+01  4.5241485E+00
0.0000000E+00  4.2623088E+05  1.0000000E+04  9.2804322E+00  1.2261974E+01  4.5491933E+00
0.0000000E+00  4.2886717E+05  1.0000000E+04  9.2477861E+00  1.2256951E+01  4.5742382E+00
0.0000000E+00  4.3150347E+05  1.0000000E+04  9.2254277E+00  1.2253256E+01  4.5992830E+00
0.0000000E+00  4.3413977E+05  1.0000000E+04  9.2096067E+00  1.2250523E+01  4.6243278E+00
0.0000000E+00  4.3677606E+05  1.0000000E+04  9.1870114E+00  1.2246484E+01  4.6493726E+00
0.0000000E+00  4.3941236E+05  1.0000000E+04  9.1663563E+00  1.2242517E+01  4.6744174E+00
0.0000000E+00  4.4204866E+05  1.0000000E+04  9.1235833E+00  1.2233388E+01  4.6994622E+00
0.0000000E+00  4.4468495E+05  1.0000000E+04  9.0901309E+00  1.2224618E+01  4.7245070E+00
0.0000000E+00  4.4732125E+05  1.0000000E+04  9.0646414E+00  1.2216182E+01  4.7495518E+00
0.0000000E+00  4.4995754E+05  1.0000000E+04  9.0463066E+00  1.2208057E+01  4.7745967E+00
0.0000000E+00  4.5259384E+05  1.0000000E+04  9.0343174E+00  1.2200224E+01  4.7996415E+00
0.0000000E+00  4.5523014E+05  1.0000000E+04  9.0278872E+00  1.2192664E+01  4.8246863E+00
0.0000000E+00  4.5786643E+05  1.0000000E+04  9.0316164E+00  1.2185360E+01  4.8497311E+00
0.0000000E+00  4.6050273E+05  1.0000000E+04  9.0391020E+00  1.2178296E+01  4.8747759E+00
0.0000000E+00  4.6313903E+05  1.0000000E+04  9.0498459E+00  1.2171459E+01  4.8998207E+00
0.0000000E+00  4.6577532E+05  1.0000000E+04  9.0632485E+00  1.2164835E+01  4.9248656E+00
0.0000000E+00  4.6841162E+05  1.0000000E+04  9.0787460E+00  1.2158413E+01  4.9499104E+00
0.0000000E+00  4.7104791E+05  1.0000000E+04  9.0958133E+00  1.2152183E+01  4.9749552E+00
0.0000000E+00  4.7368421E+05  1.0000000E+04  9.1139622E+00  1.2146133E+01  5.0000000E+00
0.0000000E+00  4.7632051E+05  1.0000000E+04  9.1327401E+00  1.2140255E+01  5.0250448E+00
0.0000000E+00  4.7895680E+05  1.0000000E+04  9.1517277E+00  1.2134540E+01  5.0500896E+00
0.0000000E+00  4.8159310E+05  1.0000000E+04  9.1709714E+00  1.2128850E+01  5.0751344E+00
0.0000000E+00  4.8422940E+05  1.0000000E+04  9.1896642E+00  1.2123316E+01  5.1001793E+00
0.0000000E+00  4.8686569E+05  1.0000000E+04  9.2074601E+00  1.2117929E+01  5.1252241E+00
0.0000000E+00  4.8950199E+05  1.0000000E+04  9.2240692E+00  1.2112683E+01  5.1502689E+00
0.0000000E+00  4.9213828E+05  1.0000000E+04  9.2392550E+00  1.2107572E+01  5.1753137E+00
0.0000000E+00  4.9477458E+05  1.0000000E+04  9.2528419E+00  1.2102589E+01  5.2003585E+00
0.0000000E+00  4.9741088E+05  1.0000000E+04  9.2647226E+00  1.2097730E+01  5.2254033E+00
0.0000000E+00  5.0004717E+05  1.0000000E+04  9.2748637E+00  1.2092989E+01  5.2504482E+00
0.0000000E+00  5.0268347E+05  1.0000000E+04  9.2833078E+00  1.2088361E+01  5.2754930E+00
0.0000000E+00  5.0531977E+05  1.0000000E+04  9.2901721E+00  1.2083843E+01  5.3005378E+00
0.0000000E+00  5.0795606E+05  1.0000000E+04  9.2956430E+00  1.2079428E+01  5.3255826E+00
0.0000000E+00  5.1059236E+05  1.0000000E+04  9.2999666E+00  1.2075115E+01  5.3506274E+00
0.0000000E+00  5.1322865E+05  1.0000000E+04  9.3034354E+00  1.2070898E+01  5.3756722E+00
0.0000000E+00  5.1586495E+05  1.0000000E+04  9.3063714E+00  1.2066774E+01  5.4007170E+00
0.0000000E+00  5.1850125E+05  1.0000000E+04  9.3091062E+00  1.2062740E+01  5.4257618E+00
0.0000000E+00  5.2113754E+05  1.0000000E+04  9.3119614E+00  1.2058792E+01  5.4508067E+00
0.0000000E+00  5.2377384E+05  1.0000000E+04  9.3152281E+00  1.2054929E+01  5.4758515E+00
0.0000000E+00  5.2641014E+05  1.0000000E+04  9.3191522E+00  1.2051146E+01  5.5008963E+00
0.0000000E+00  5.2904643E+05  1.0000000E+04  9.3239234E+00  1.2047441E+01  5.5259411E+00
0.0000000E+00  5.3168273E+05  1.0000000E+04  9.3296717E+00  1.2043811E+01  5.5509859E+00
0.0000000E+00  5.3431902E+05  1.0000000E+04  9.3364696E+00  1.2040255E+01  5.5760307E+00
0.0000000E+00  5.3695532E+05  1.0000000E+04  9.3443387E+00  1.2036769E+01  5.6010756E+00
0.0000000E+00  5.3959162E+05  1.0000000E+04  9.3532585E+00  1.2033351E+01  5.6261204E+00
0.0000000E+00  5.4222791E+05  1.0000000E+04  9.3631774E+00  1.2030000E+01  5.6511652E+00
0.0000000E+00  5.4486421E+05  1.0000000E+04  9.3740215E+00  1.2026713E+01  5.6762100E+00
0.0000000E+00  5.4750051E+05  1.0000000E+04  9.3857037E+00  1.2023489E+01  5.7012548E+00
0.0000000E+00  5.5013680E+05  1.0000000E+04  9.3981306E+00  1.2020325E+01  5.7262996E+00
0.0000000E+00  5.5277310E+05  1.0000000E+04  9.4112074E+00  1.2017219E+01  5.7513444E+00
0.0000000E+00  5.5540939E+05  1.0000000E+04  9.4248420E+00  1.2014171E+01  5.7763893E+00
0.0000000E+00  5.5804569E+05  1.0000000E+04  9.4389472E+00  1.2011178E+01  5.8014341E+00
0.0000000E+00  5.6068199E+05  1.0000000E+04  9.4534423E+00  1.2008239E+01  5.8264789E+00
0.0000000E+00  5.6331828E+05  1.0000000E+04  9.4682543E+00  1.2005352E+01  5.8515237E+00
0.0000000E+00  5.6595458E+05  1.0000000E+04  9.4833172E+00  1.2002516E+01  5.8765685E+00
0.0000000E+00  5.6859088E+05  1.0000000E+04  9.4985729E+00  1.1999730E+01  5.9016133E+00
0.0000000E+00  5.7122717E+05  1.0000000E+04  9.5139702E+00  1.1996991E+01  5.9266581E+00
0.0000000E+00  5.7386347E+05  1.0000000E+04  9.5294644E+00  1.1994300E+01  5.9517029E+00
0.0000000E+00  5.7649977E+05  1.0000000E+04  9.5450169E+00  1.1991654E+01  5.9767478E+00
0.0000000E+00  5.7913606E+05  1.0000000E+04  9.5605947E+00  1.1989053E+01  6.0017926E+00
0.0000000E+00  5.8177236E+05  1.0000000E+04  9.5761695E+00  1.1986495E+01  6.0268374E+00
0.0000000E+00  5.8440865E+05  1.0000000E+04  9.5917171E+00  1.1983980E+01  6.0518822E+00
0.0000000E+00  5.8704495E+05  1.0000000E+04  9.6072174E+00  1.1981505E+01  6.0769270E+00
