Nsteps =      439
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  3.0849049E+05  1.0000000E+04  1.5344801E+01  1.2733427E+01  3.1540559E+00
0.0000000E+00  3.1108403E+05  1.0000000E+04  1.4661641E+01  1.2710426E+01  3.1797319E+00
0.0000000E+00  3.1367756E+05  1.0000000E+04  1.4078595E+01  1.2688543E+01  3.2054078E+00
0.0000000E+00  3.1627109E+05  1.0000000E+04  1.3578850E+01  1.2667709E+01  3.2310838E+00
0.0000000E+00  3.1886463E+05  1.0000000E+04  1.3150574E+01  1.2647858E+01  3.2567598E+00
0.0000000E+00  3.2145816E+05  1.0000000E+04  1.2782539E+01  1.2628930E+01  3.2824358E+00
0.0000000E+00  3.2405169E+05  1.0000000E+04  1.2466279E+01  1.2610869E+01  3.3081118E+00
0.0000000E+00  3.2664523E+05  1.0000000E+04  1.2194810E+01  1.2593622E+01  3.3337877E+00
0.0000000E+00  3.2923876E+05  1.0000000E+04  1.1961941E+01  1.2577140E+01  3.3594637E+00
0.0000000E+00  3.3183229E+05  1.0000000E+04  1.1762284E+01  1.2561377E+01  3.3851397E+00
0.0000000E+00  3.3442583E+05  1.0000000E+04  1.1591596E+01  1.2546289E+01  3.4108157E+00
0.0000000E+00  3.3701936E+05  1.0000000E+04  1.1445255E+01  1.2531837E+01  3.4364917E+00
0.0000000E+00  3.3961289E+05  1.0000000E+04  1.1318984E+01  1.2517983E+01  3.4621677E+00
0.0000000E+00  3.4220643E+05  1.0000000E+04  1.1208831E+01  1.2504693E+01  3.4878436E+00
0.0000000E+00  3.4479996E+05  1.0000000E+04  1.1111313E+01  1.2491933E+01  3.5135196E+00
0.0000000E+00  3.4739349E+05  1.0000000E+04  1.1035562E+01  1.2479674E+01  3.5391956E+00
0.0000000E+00  3.4998703E+05  1.0000000E+04  1.0968223E+01  1.2467885E+01  3.5648716E+00
0.0000000E+00  3.5258056E+05  1.0000000E+04  1.0936172E+01  1.2462160E+01  3.5905476E+00
0.0000000E+00  3.5517409E+05  1.0000000E+04  1.0912394E+01  1.2457937E+01  3.6162235E+00
0.0000000E+00  3.5776763E+05  1.0000000E+04  1.0888779E+01  1.2453773E+01  3.6418995E+00
0.0000000E+00  3.6036116E+05  1.0000000E+04  1.0865372E+01  1.2449668E+01  3.6675755E+00
0.0000000E+00  3.6295469E+05  1.0000000E+04  1.0847278E+01  1.2445620E+01  3.6932515E+00
0.0000000E+00  3.6554823E+05  1.0000000E+04  1.0826458E+01  1.2440308E+01  3.7189275E+00
0.0000000E+00  3.6814176E+05  1.0000000E+04  1.0809506E+01  1.2436388E+01  3.7446034E+00
0.0000000E+00  3.7073529E+05  1.0000000E+04  1.0788290E+01  1.2432521E+01  3.7702794E+00
0.0000000E+00  3.7332883E+05  1.0000000E+04  1.0763277E+01  1.2428706E+01  3.7959554E+00
0.0000000E+00  3.7592236E+05  1.0000000E+04  1.0736807E+01  1.2424943E+01  3.8216314E+00
0.0000000E+00  3.7851590E+05  1.0000000E+04  1.0700105E+01  1.2420001E+01  3.8473074E+00
0.0000000E+00  3.8110943E+05  1.0000000E+04  1.0662472E+01  1.2415146E+01  3.8729834E+00
0.0000000E+00  3.8363921E+05  1.0000000E+04  1.0604306E+01  1.2408020E+01  3.8980282E+00
0.0000000E+00  3.8616899E+05  1.0000000E+04  1.0560158E+01  1.2402795E+01  3.9230730E+00
0.0000000E+00  3.8869877E+05  1.0000000E+04  1.0515323E+01  1.2397669E+01  3.9481178E+00
0.0000000E+00  3.9122855E+05  1.0000000E+04  1.0470148E+01  1.2392639E+01  3.9731626E+00
0.0000000E+00  3.9375833E+05  1.0000000E+04  1.0424782E+01  1.2387702E+01  3.9982074E+00
0.0000000E+00  3.9628810E+05  1.0000000E+04  1.0383179E+01  1.2383253E+01  4.0232522E+00
0.0000000E+00  3.9881788E+05  1.0000000E+04  1.0321097E+01  1.2376719E+01  4.0482971E+00
0.0000000E+00  4.0134766E+05  1.0000000E+04  1.0260196E+01  1.2370344E+01  4.0733419E+00
0.0000000E+00  4.0387744E+05  1.0000000E+04  1.0179719E+01  1.2362082E+01  4.0983867E+00
0.0000000E+00  4.0640722E+05  1.0000000E+04  1.0100914E+01  1.2354078E+01  4.1234315E+00
0.0000000E+00  4.0893700E+05  1.0000000E+04  1.0024088E+01  1.2346321E+01  4.1484763E+00
0.0000000E+00  4.1146678E+05  1.0000000E+04  9.9494860E+00  1.2338796E+01  4.1735211E+00
0.0000000E+00  4.1399656E+05  1.0000000E+04  9.8775293E+00  1.2331493E+01  4.1985659E+00
0.0000000E+00  4.1652634E+05  1.0000000E+04  9.8083548E+00  1.2324401E+01  4.2236107E+00
0.0000000E+00  4.1905612E+05  1.0000000E+04  9.6787654E+00  1.2310809E+01  4.2486556E+00
0.0000000E+00  4.2158590E+05  1.0000000E+04  9.6186757E+00  1.2304291E+01  4.2737004E+00
0.0000000E+00  4.2411568E+05  1.0000000E+04  9.5561503E+00  1.2297321E+01  4.2987452E+00
0.0000000E+00  4.2664546E+05  1.0000000E+04  9.5033439E+00  1.2291219E+01  4.3237900E+00
0.0000000E+00  4.2917523E+05  1.0000000E+04  9.4753613E+00  1.2287855E+01  4.3488348E+00
0.0000000E+00  4.3170501E+05  1.0000000E+04  9.4497273E+00  1.2284744E+01  4.3738796E+00
0.0000000E+00  4.3423479E+05  1.0000000E+04  9.4265017E+00  1.2281865E+01  4.3989244E+00
0.0000000E+00  4.3676457E+05  1.0000000E+04  9.3983995E+00  1.2278316E+01  4.4239693E+00
0.0000000E+00  4.3929435E+05  1.0000000E+04  9.3738475E+00  1.2275110E+01  4.4490141E+00
0.0000000E+00  4.4182413E+05  1.0000000E+04  9.3522156E+00  1.2272209E+01  4.4740589E+00
0.0000000E+00  4.4435391E+05  1.0000000E+04  9.3236085E+00  1.2268279E+01  4.4991037E+00
0.0000000E+00  4.4688369E+05  1.0000000E+04  9.3000711E+00  1.2264895E+01  4.5241485E+00
0.0000000E+00  4.4941347E+05  1.0000000E+04  9.2804322E+00  1.2261974E+01  4.5491933E+00
0.0000000E+00  4.5194325E+05  1.0000000E+04  9.2477861E+00  1.2256951E+01  4.5742382E+00
0.0000000E+00  4.5447303E+05  1.0000000E+04  9.2254277E+00  1.2253256E+01  4.5992830E+00
0.0000000E+00  4.5700281E+05  1.0000000E+04  9.2096067E+00  1.2250523E+01  4.6243278E+00
0.0000000E+00  4.5953259E+05  1.0000000E+04  9.1870114E+00  1.2246484E+01  4.6493726E+00
0.0000000E+00  4.6206236E+05  1.0000000E+04  9.1663563E+00  1.2242517E+01  4.6744174E+00
0.0000000E+00  4.6459214E+05  1.0000000E+04  9.1235833E+00  1.2233388E+01  4.6994622E+00
0.0000000E+00  4.6712192E+05  1.0000000E+04  9.0901309E+00  1.2224618E+01  4.7245070E+00
0.0000000E+00  4.6965170E+05  1.0000000E+04  9.0646414E+00  1.2216182E+01  4.7495518E+00
0.0000000E+00  4.7218148E+05  1.0000000E+04  9.0463066E+00  1.2208057E+01  4.7745967E+00
0.0000000E+00  4.7471126E+05  1.0000000E+04  9.0343174E+00  1.2200224E+01  4.7996415E+00
0.0000000E+00  4.7724104E+05  1.0000000E+04  9.0278872E+00  1.2192664E+01  4.8246863E+00
0.0000000E+00  4.7977082E+05  1.0000000E+04  9.0316164E+00  1.2185360E+01  4.8497311E+00
0.0000000E+00  4.8230060E+05  1.0000000E+04  9.0391020E+00  1.2178296E+01  4.8747759E+00
0.0000000E+00  4.8483038E+05  1.0000000E+04  9.0498459E+00  1.2171459E+01  4.8998207E+00
0.0000000E+00  4.8736016E+05  1.0000000E+04  9.0632485E+00  1.2164835E+01  4.9248656E+00
0.0000000E+00  4.8988994E+05  1.0000000E+04  9.0787460E+00  1.2158413E+01  4.9499104E+00
0.0000000E+00  4.9241972E+05  1.0000000E+04  9.0958133E+00  1.2152183E+01  4.9749552E+00
0.0000000E+00  4.9494949E+05  1.0000000E+04  9.1139622E+00  1.2146133E+01  5.0000000E+00
0.0000000E+00  4.9747927E+05  1.0000000E+04  9.1327401E+00  1.2140255E+01  5.0250448E+00
0.0000000E+00  5.0000905E+05  1.0000000E+04  9.1517277E+00  1.2134540E+01  5.0500896E+00
0.0000000E+00  5.0253883E+05  1.0000000E+04  9.1709714E+00  1.2128850E+01  5.0751344E+00
0.0000000E+00  5.0506861E+05  1.0000000E+04  9.1896642E+00  1.2123316E+01  5.1001793E+00
0.0000000E+00  5.0759839E+05  1.0000000E+04  9.2074601E+00  1.2117929E+01  5.1252241E+00
0.0000000E+00  5.1012817E+05  1.0000000E+04  9.2240692E+00  1.2112683E+01  5.1502689E+00
0.0000000E+00  5.1265795E+05  1.0000000E+04  9.2392550E+00  1.2107572E+01  5.1753137E+00
0.0000000E+00  5.1518773E+05  1.0000000E+04  9.2528419E+00  1.2102589E+01  5.2003585E+00
0.0000000E+00  5.1771751E+05  1.0000000E+04  9.2647226E+00  1.2097730E+01  5.2254033E+00
0.0000000E+00  5.2024729E+05  1.0000000E+04  9.2748637E+00  1.2092989E+01  5.2504482E+00
0.0000000E+00  5.2277707E+05  1.0000000E+04  9.2833078E+00  1.2088361E+01  5.2754930E+00
0.0000000E+00  5.2530685E+05  1.0000000E+04  9.2901721E+00  1.2083843E+01  5.3005378E+00
0.0000000E+00  5.2783663E+05  1.0000000E+04  9.2956430E+00  1.2079428E+01  5.3255826E+00
0.0000000E+00  5.3036640E+05  1.0000000E+04  9.2999666E+00  1.2075115E+01  5.3506274E+00
0.0000000E+00  5.3289618E+05  1.0000000E+04  9.3034354E+00  1.2070898E+01  5.3756722E+00
0.0000000E+00  5.3542596E+05  1.0000000E+04  9.3063714E+00  1.2066774E+01  5.4007170E+00
0.0000000E+00  5.3795574E+05  1.0000000E+04  9.3091062E+00  1.2062740E+01  5.4257618E+00
0.0000000E+00  5.4048552E+05  1.0000000E+04  9.3119614E+00  1.2058792E+01  5.4508067E+00
0.0000000E+00  5.4301530E+05  1.0000000E+04  9.3152281E+00  1.2054929E+01  5.4758515E+00
0.0000000E+00  5.4554508E+05  1.0000000E+04  9.3191522E+00  1.2051146E+01  5.5008963E+00
0.0000000E+00  5.4807486E+05  1.0000000E+04  9.3239234E+00  1.2047441E+01  5.5259411E+00
0.0000000E+00  5.5060464E+05  1.0000000E+04  9.3296717E+00  1.2043811E+01  5.5509859E+00
0.0000000E+00  5.5313442E+05  1.0000000E+04  9.3364696E+00  1.2040255E+01  5.5760307E+00
0.0000000E+00  5.5566420E+05  1.0000000E+04  9.3443387E+00  1.2036769E+01  5.6010756E+00
0.0000000E+00  5.5819398E+05  1.0000000E+04  9.3532585E+00  1.2033351E+01  5.6261204E+00
0.0000000E+00  5.6072376E+05  1.0000000E+04  9.3631774E+00  1.2030000E+01  5.6511652E+00
0.0000000E+00  5.6325353E+05  1.0000000E+04  9.3740215E+00  1.2026713E+01  5.6762100E+00
0.0000000E+00  5.6578331E+05  1.0000000E+04  9.3857037E+00  1.2023489E+01  5.7012548E+00
0.0000000E+00  5.6831309E+05  1.0000000E+04  9.3981306E+00  1.2020325E+01  5.7262996E+00
0.0000000E+00  5.7084287E+05  1.0000000E+04  9.4112074E+00  1.2017219E+01  5.7513444E+00
0.0000000E+00  5.7337265E+05  1.0000000E+04  9.4248420E+00  1.2014171E+01  5.7763893E+00
0.0000000E+00  5.7590243E+05  1.0000000E+04  9.4389472E+00  1.2011178E+01  5.8014341E+00
0.0000000E+00  5.7843221E+05  1.0000000E+04  9.4534423E+00  1.2008239E+01  5.8264789E+00
0.0000000E+00  5.8096199E+05  1.0000000E+04  9.4682543E+00  1.2005352E+01  5.8515237E+00
0.0000000E+00  5.8349177E+05  1.0000000E+04  9.4833172E+00  1.2002516E+01  5.8765685E+00
0.0000000E+00  5.8602155E+05  1.0000000E+04  9.4985729E+00  1.1999730E+01  5.9016133E+00
0.0000000E+00  5.8855133E+05  1.0000000E+04  9.5139702E+00  1.1996991E+01  5.9266581E+00
0.0000000E+00  5.9108111E+05  1.0000000E+04  9.5294644E+00  1.1994300E+01  5.9517029E+00
0.0000000E+00  5.9361089E+05  1.0000000E+04  9.5450169E+00  1.1991654E+01  5.9767478E+00
0.0000000E+00  5.9614066E+05  1.0000000E+04  9.5605947E+00  1.1989053E+01  6.0017926E+00
0.0000000E+00  5.9867044E+05  1.0000000E+04  9.5761695E+00  1.1986495E+01  6.0268374E+00
0.0000000E+00  6.0120022E+05  1.0000000E+04  9.5917171E+00  1.1983980E+01  6.0518822E+00
0.0000000E+00  6.0373000E+05  1.0000000E+04  9.6072174E+00  1.1981505E+01  6.0769270E+00
0.0000000E+00  6.0625978E+05  1.0000000E+04  9.6226535E+00  1.1979071E+01  6.1019718E+00
0.0000000E+00  6.0878956E+05  1.0000000E+04  9.6380111E+00  1.1976676E+01  6.1270166E+00
0.0000000E+00  6.1138309E+05  1.0000000E+04  9.6532787E+00  1.1974319E+01  6.1526926E+00
0.0000000E+00  6.1397663E+05  1.0000000E+04  9.6684347E+00  1.1972000E+01  6.1783686E+00
0.0000000E+00  6.1657016E+05  1.0000000E+04  9.6835143E+00  1.1969717E+01  6.2040446E+00
0.0000000E+00  6.1916369E+05  1.0000000E+04  9.6984817E+00  1.1967469E+01  6.2297206E+00
0.0000000E+00  6.2175723E+05  1.0000000E+04  9.7133313E+00  1.1965257E+01  6.2553966E+00
0.0000000E+00  6.2435076E+05  1.0000000E+04  9.7280594E+00  1.1963078E+01  6.2810725E+00
