! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  4.115E+05  1.000E+04  9.949E+00  1.234E+01  4.174E+00
0.000E+00  4.140E+05  1.000E+04  9.878E+00  1.233E+01  4.199E+00
0.000E+00  4.165E+05  1.000E+04  9.808E+00  1.232E+01  4.224E+00
0.000E+00  4.191E+05  1.000E+04  9.679E+00  1.231E+01  4.249E+00
0.000E+00  4.216E+05  1.000E+04  9.619E+00  1.230E+01  4.274E+00
0.000E+00  4.241E+05  1.000E+04  9.556E+00  1.230E+01  4.299E+00
0.000E+00  4.266E+05  1.000E+04  9.503E+00  1.229E+01  4.324E+00
0.000E+00  4.292E+05  1.000E+04  9.475E+00  1.229E+01  4.349E+00
0.000E+00  4.317E+05  1.000E+04  9.450E+00  1.228E+01  4.374E+00
0.000E+00  4.342E+05  1.000E+04  9.427E+00  1.228E+01  4.399E+00
0.000E+00  4.368E+05  1.000E+04  9.398E+00  1.228E+01  4.424E+00
0.000E+00  4.393E+05  1.000E+04  9.374E+00  1.228E+01  4.449E+00
0.000E+00  4.418E+05  1.000E+04  9.352E+00  1.227E+01  4.474E+00
0.000E+00  4.444E+05  1.000E+04  9.324E+00  1.227E+01  4.499E+00
0.000E+00  4.469E+05  1.000E+04  9.300E+00  1.226E+01  4.524E+00
0.000E+00  4.494E+05  1.000E+04  9.280E+00  1.226E+01  4.549E+00
0.000E+00  4.519E+05  1.000E+04  9.248E+00  1.226E+01  4.574E+00
0.000E+00  4.545E+05  1.000E+04  9.225E+00  1.225E+01  4.599E+00
0.000E+00  4.570E+05  1.000E+04  9.210E+00  1.225E+01  4.624E+00
0.000E+00  4.595E+05  1.000E+04  9.187E+00  1.225E+01  4.649E+00
0.000E+00  4.621E+05  1.000E+04  9.166E+00  1.224E+01  4.674E+00
0.000E+00  4.646E+05  1.000E+04  9.124E+00  1.223E+01  4.699E+00
0.000E+00  4.671E+05  1.000E+04  9.090E+00  1.222E+01  4.725E+00
0.000E+00  4.697E+05  1.000E+04  9.065E+00  1.222E+01  4.750E+00
0.000E+00  4.722E+05  1.000E+04  9.046E+00  1.221E+01  4.775E+00
0.000E+00  4.747E+05  1.000E+04  9.034E+00  1.220E+01  4.800E+00
0.000E+00  4.772E+05  1.000E+04  9.028E+00  1.219E+01  4.825E+00
0.000E+00  4.798E+05  1.000E+04  9.032E+00  1.219E+01  4.850E+00
0.000E+00  4.823E+05  1.000E+04  9.039E+00  1.218E+01  4.875E+00
0.000E+00  4.848E+05  1.000E+04  9.050E+00  1.217E+01  4.900E+00
0.000E+00  4.874E+05  1.000E+04  9.063E+00  1.216E+01  4.925E+00
0.000E+00  4.899E+05  1.000E+04  9.079E+00  1.216E+01  4.950E+00
0.000E+00  4.924E+05  1.000E+04  9.096E+00  1.215E+01  4.975E+00
0.000E+00  4.949E+05  1.000E+04  9.114E+00  1.215E+01  5.000E+00
0.000E+00  4.975E+05  1.000E+04  9.133E+00  1.214E+01  5.025E+00
0.000E+00  5.000E+05  1.000E+04  9.152E+00  1.213E+01  5.050E+00
0.000E+00  5.025E+05  1.000E+04  9.171E+00  1.213E+01  5.075E+00
0.000E+00  5.051E+05  1.000E+04  9.190E+00  1.212E+01  5.100E+00
0.000E+00  5.076E+05  1.000E+04  9.207E+00  1.212E+01  5.125E+00
0.000E+00  5.101E+05  1.000E+04  9.224E+00  1.211E+01  5.150E+00
0.000E+00  5.127E+05  1.000E+04  9.239E+00  1.211E+01  5.175E+00
0.000E+00  5.152E+05  1.000E+04  9.253E+00  1.210E+01  5.200E+00
0.000E+00  5.177E+05  1.000E+04  9.265E+00  1.210E+01  5.225E+00
0.000E+00  5.202E+05  1.000E+04  9.275E+00  1.209E+01  5.250E+00
0.000E+00  5.228E+05  1.000E+04  9.283E+00  1.209E+01  5.275E+00
0.000E+00  5.253E+05  1.000E+04  9.290E+00  1.208E+01  5.301E+00
0.000E+00  5.278E+05  1.000E+04  9.296E+00  1.208E+01  5.326E+00
0.000E+00  5.304E+05  1.000E+04  9.300E+00  1.208E+01  5.351E+00
0.000E+00  5.329E+05  1.000E+04  9.303E+00  1.207E+01  5.376E+00
0.000E+00  5.354E+05  1.000E+04  9.306E+00  1.207E+01  5.401E+00
0.000E+00  5.380E+05  1.000E+04  9.309E+00  1.206E+01  5.426E+00
0.000E+00  5.405E+05  1.000E+04  9.312E+00  1.206E+01  5.451E+00
0.000E+00  5.430E+05  1.000E+04  9.315E+00  1.205E+01  5.476E+00
0.000E+00  5.455E+05  1.000E+04  9.319E+00  1.205E+01  5.501E+00
0.000E+00  5.481E+05  1.000E+04  9.324E+00  1.205E+01  5.526E+00
0.000E+00  5.506E+05  1.000E+04  9.330E+00  1.204E+01  5.551E+00
0.000E+00  5.531E+05  1.000E+04  9.336E+00  1.204E+01  5.576E+00
0.000E+00  5.557E+05  1.000E+04  9.344E+00  1.204E+01  5.601E+00
0.000E+00  5.582E+05  1.000E+04  9.353E+00  1.203E+01  5.626E+00
0.000E+00  5.607E+05  1.000E+04  9.363E+00  1.203E+01  5.651E+00
0.000E+00  5.633E+05  1.000E+04  9.374E+00  1.203E+01  5.676E+00
0.000E+00  5.658E+05  1.000E+04  9.386E+00  1.202E+01  5.701E+00
0.000E+00  5.683E+05  1.000E+04  9.398E+00  1.202E+01  5.726E+00
0.000E+00  5.708E+05  1.000E+04  9.411E+00  1.202E+01  5.751E+00
0.000E+00  5.734E+05  1.000E+04  9.425E+00  1.201E+01  5.776E+00
0.000E+00  5.759E+05  1.000E+04  9.439E+00  1.201E+01  5.801E+00
0.000E+00  5.784E+05  1.000E+04  9.453E+00  1.201E+01  5.826E+00
